IP:PORT, LOSS, DELAY
162.159.195.5:854,0.00%,142 ms
162.159.195.236:946,0.00%,142 ms
162.159.192.149:854,0.00%,142 ms
162.159.192.223:3581,0.00%,142 ms
162.159.195.210:988,0.00%,142 ms
162.159.192.38:7103,0.00%,142 ms
162.159.192.106:2408,0.00%,142 ms
162.159.192.46:7152,0.00%,142 ms
162.159.195.181:955,0.00%,143 ms
162.159.195.84:1074,0.00%,143 ms
162.159.195.108:1014,0.00%,143 ms
162.159.192.154:1002,0.00%,143 ms
162.159.192.146:1002,0.00%,143 ms
162.159.195.60:1180,0.00%,143 ms
162.159.192.64:1701,0.00%,143 ms
162.159.195.120:1014,0.00%,143 ms
162.159.195.52:939,0.00%,143 ms
162.159.192.107:942,0.00%,143 ms
162.159.195.205:7156,0.00%,143 ms
162.159.195.200:7156,0.00%,143 ms
162.159.192.56:4198,0.00%,143 ms
162.159.195.52:1010,0.00%,143 ms
162.159.192.236:2506,0.00%,143 ms
162.159.195.233:946,0.00%,143 ms
162.159.195.187:1018,0.00%,143 ms
162.159.195.176:4177,0.00%,143 ms
162.159.195.145:891,0.00%,143 ms
162.159.195.27:8854,0.00%,143 ms
162.159.192.86:4198,0.00%,143 ms
162.159.192.122:903,0.00%,143 ms
162.159.195.5:903,0.00%,143 ms
162.159.192.106:942,0.00%,143 ms
162.159.195.191:1018,0.00%,143 ms
162.159.192.220:3581,0.00%,143 ms
162.159.192.25:7103,0.00%,143 ms
162.159.195.66:968,0.00%,143 ms
162.159.195.181:4177,0.00%,143 ms
162.159.195.133:908,0.00%,143 ms
162.159.195.123:1014,0.00%,143 ms
162.159.195.170:955,0.00%,143 ms
162.159.195.94:3854,0.00%,143 ms
162.159.195.90:3854,0.00%,143 ms
162.159.192.87:1701,0.00%,143 ms
162.159.192.174:942,0.00%,143 ms
162.159.195.210:946,0.00%,143 ms
162.159.195.144:908,0.00%,143 ms
162.159.192.19:7103,0.00%,143 ms
162.159.195.194:1018,0.00%,143 ms
162.159.195.31:939,0.00%,143 ms
162.159.192.162:1002,0.00%,143 ms
162.159.195.66:1180,0.00%,143 ms
162.159.192.165:880,0.00%,143 ms
162.159.195.13:1387,0.00%,143 ms
162.159.195.207:7156,0.00%,143 ms
162.159.195.155:955,0.00%,143 ms
162.159.195.232:946,0.00%,143 ms
162.159.192.79:4198,0.00%,143 ms
162.159.195.185:7156,0.00%,143 ms
162.159.195.232:988,0.00%,143 ms
162.159.195.142:891,0.00%,144 ms
